"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_GG_STAT_SWAY","Weapon sway","Weapon sway","Kolébání zbraně","Waffenschwanken","Раскачивание оружия","Kołysanie broni","Fegyverlengés","Oscillazione arma","Balanceo del arma","Oscillation de l'arme","武器晃動","武器の揺れ","Oscilação da arma","武器晃动",
"STR_GG_STAT_ADS","Aim speed (ADS)","Aim speed (ADS)","Zamíření (ADS)","Zielgeschwindigkeit (ADS)","Прицеливание (ADS)","Celowanie (ADS)","Célzás (ADS)","Mira (ADS)","Apuntar (ADS)","Visée (ADS)","瞄準速度 (ADS)","エイム速度 (ADS)","Mira (ADS)","瞄准速度 (ADS)",
"STR_GG_STAT_PRECISION","Precision","Precision","Přesnost","Präzision","Точность","Precyzja","Pontosság","Precisione","Precisión","Précision","精準度","精度","Precisão","精准度",
"STR_GG_STAT_DISPERSION","Dispersion","Dispersion","Rozptyl","Streuung","Разброс","Rozrzut","Szórás","Dispersione","Dispersión","Dispersion","散布","拡散","Dispersão","散布",
"STR_GG_STAT_HIPFIRE","Hipfire","Hipfire","Střelba od boku","Hüftfeuer","Стрельба от бедра","Strzał z biodra","Csípőtüzelés","Fuoco dal fianco","Disparo desde la cadera","Tir au jugé","腰射","腰だめ射撃","Tiro sem mirar","腰射",
"STR_GG_STAT_RPM","Rate of fire (RPM)","Rate of fire (RPM)","Kadence (RPM)","Feuerrate (RPM)","Темп стрельбы (RPM)","Szybkostrzelność (RPM)","Tűzgyorsaság (RPM)","Cadenza di fuoco (RPM)","Cadencia de tiro (RPM)","Cadence de tir (RPM)","射速 (RPM)","連射速度 (RPM)","Cadência de tiro (RPM)","射速 (RPM)",
"STR_GG_STAT_MUZZLE_VELOCITY","Muzzle velocity","Muzzle velocity","Úsťová rychlost","Mündungsgeschwindigkeit","Начальная скорость","Prędkość wylotowa","Csőtorkolati sebesség","Velocità alla volata","Velocidad de salida","Vitesse initiale","槍口初速","初速","Velocidade na boca","枪口初速",
"STR_GG_STAT_MAGAZINE_CAPACITY","Magazine capacity","Magazine capacity","Kapacita zásobníku","Magazinkapazität","Вместимость магазина","Pojemność magazynka","Tárkapacitás","Capacità caricatore","Capacidad del cargador","Capacité du chargeur","彈匣容量","マガジン容量","Capacidade do carregador","弹匣容量",
"STR_GG_STAT_AMMO_BALLISTICS","Ammo ballistics","Ammo ballistics","Balistika munice","Munitionsballistik","Баллистика боеприпасов","Balistyka amunicji","Lőszerballisztika","Balistica munizioni","Balística de munición","Balistique des munitions","彈藥彈道","弾薬の弾道","Balística da munição","弹药弹道",
"STR_GG_STAT_AMMO_DAMAGE","Ammo damage","Ammo damage","Poškození municí","Munitionsschaden","Урон боеприпасов","Obrażenia amunicji","Lőszersebzés","Danno munizioni","Daño de munición","Dégâts des munitions","彈藥傷害","弾薬ダメージ","Dano da munição","弹药伤害",
"STR_GG_STAT_ARMOR","Armor","Armor","Ochrana","Rüstung","Броня","Pancerz","Páncél","Armatura","Armadura","Armure","護甲","防具","Armadura","护甲",
"STR_GG_CROSSHAIR_COLOR","Crosshair color","Crosshair color","Barva zaměřovače","Fadenkreuzfarbe","Цвет прицела","Kolor celownika","Célkereszt színe","Colore mirino","Color de retícula","Couleur du réticule","準星顏色","クロスヘアの色","Cor da mira","准星颜色",
"STR_GG_COLOR_WHITE","White","White","Bílá","Weiß","Белый","Biały","Fehér","Bianco","Blanco","Blanc","白色","白","Branco","白色",
"STR_GG_COLOR_RED","Red","Red","Červená","Rot","Красный","Czerwony","Piros","Rosso","Rojo","Rouge","紅色","赤","Vermelho","红色",
"STR_GG_COLOR_GREEN","Green","Green","Zelená","Grün","Зеленый","Zielony","Zöld","Verde","Verde","Vert","綠色","緑","Verde","绿色",
"STR_GG_COLOR_CYAN","Cyan","Cyan","Azurová","Cyan","Голубой","Cyjan","Cián","Ciano","Cian","Cyan","青色","シアン","Ciano","青色",
"STR_GG_COLOR_YELLOW","Yellow","Yellow","Žlutá","Gelb","Желтый","Żółty","Sárga","Giallo","Amarillo","Jaune","黃色","黄","Amarelo","黄色",
"STR_GG_COLOR_ORANGE","Orange","Orange","Oranžová","Orange","Оранжевый","Pomarańczowy","Narancssárga","Arancione","Naranja","Orange","橙色","オレンジ","Laranja","橙色",
"STR_GG_CROSSHAIR_STYLE","Crosshair style","Crosshair style","Styl zaměřovače","Fadenkreuzstil","Стиль прицела","Styl celownika","Célkereszt stílusa","Stile mirino","Estilo de retícula","Style du réticule","準星樣式","クロスヘアのスタイル","Estilo da mira","准星样式",
"STR_GG_STYLE_CLASSIC","Classic","Classic","Klasický","Klassisch","Классический","Klasyczny","Klasszikus","Classico","Clásico","Classique","經典","クラシック","Clássico","经典",
"STR_GG_STYLE_DOT","Dot","Dot","Tečka","Punkt","Точка","Kropka","Pont","Punto","Punto","Point","圓點","ドット","Ponto","圆点",
"STR_GG_STYLE_OPEN_CROSS","Open cross","Open cross","Otevřený kříž","Offenes Kreuz","Открытый крест","Otwarty krzyż","Nyitott kereszt","Croce aperta","Cruz abierta","Croix ouverte","開放十字","オープンクロス","Cruz aberta","开放十字",
"STR_GG_STYLE_TACTICAL_T","Tactical T","Tactical T","Taktické T","Taktisches T","Тактическая T","Taktyczne T","Taktikai T","T tattica","T táctica","T tactique","戰術 T","タクティカルT","T tático","战术 T",
"STR_GG_STYLE_BRACKETS","Brackets","Brackets","Závorky","Klammern","Скобки","Nawiasy","Zárójelek","Parentesi","Corchetes","Crochets","括號","ブラケット","Colchetes","括号",
"STR_GG_STYLE_CROSS_DOT","Cross + dot","Cross + dot","Kříž + tečka","Kreuz + Punkt","Крест + точка","Krzyż + kropka","Kereszt + pont","Croce + punto","Cruz + punto","Croix + point","十字 + 圓點","クロス + ドット","Cruz + ponto","十字 + 圆点",
"STR_GG_CROSSHAIR_OPACITY","Crosshair opacity","Crosshair opacity","Krytí zaměřovače","Fadenkreuz-Deckkraft","Прозрачность прицела","Krycie celownika","Célkereszt átlátszatlansága","Opacità mirino","Opacidad de la retícula","Opacité du réticule","準星不透明度","クロスヘアの不透明度","Opacidade da mira","准星不透明度",
"STR_GG_OPACITY_25","25%","25%","25%","25%","25%","25%","25%","25%","25%","25%","25%","25%","25%","25%",
"STR_GG_OPACITY_50","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%","50%",
"STR_GG_OPACITY_75","75%","75%","75%","75%","75%","75%","75%","75%","75%","75%","75%","75%","75%","75%",
"STR_GG_OPACITY_100","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%",
